DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
Intel(R) Graphics [0xe223];3;13;5;24;30000;0;24;13;1;2;13;0;2;0;0;0;1;0;1;1;0;0
Intel(R) Graphics [0xe223];3;13;5;26;30000;0;24;13;1;13;13;0;2;0;0;0;1;0;0;0;0;0
Intel(R) Graphics [0xe223];3;13;13;5;30000;0;30;13;1;1;13;-2;1;0;0;0;1;0;0;2;0;0
Intel(R) Graphics [0xe223];3;13;13;13;30000;0;24;13;1;1;1;1;-1;0;0;0;1;0;0;0;0;0
Intel(R) Graphics [0xe223];3;13;13;16;30000;0;24;13;1;10;13;1;-1;0;0;0;1;0;1;0;0;0
Intel(R) Graphics [0xe223];3;13;13;24;30000;0;30;13;1;1;13;-2;1;0;0;0;1;0;0;0;0;1
Intel(R) Graphics [0xe223];3;13;13;26;30000;0;41;13;1;1;13;-1;1;0;0;0;1;0;0;0;0;0
Intel(R) Graphics [0xe223];3;13;16;5;30000;0;40;13;1;3;16;0;1;0;0;0;1;0;0;0;0;0
Intel(R) Graphics [0xe223];3;13;16;13;30000;0;30;13;1;12;16;1;1;0;0;0;1;0;2;1;0;0
Intel(R) Graphics [0xe223];3;13;16;16;30000;0;31;13;1;11;16;-2;-2;0;0;0;1;0;1;0;0;0
Intel(R) Graphics [0xe223];3;13;16;24;30000;0;31;13;1;7;16;0;0;0;0;0;1;0;1;0;0;0
Intel(R) Graphics [0xe223];3;13;16;26;30000;0;25;13;1;7;16;-1;-1;0;0;0;1;0;1;2;0;0
Intel(R) Graphics [0xe223];3;13;24;5;30000;0;40;13;1;1;24;-2;1;0;0;0;1;0;0;2;0;1
Intel(R) Graphics [0xe223];3;13;24;13;30000;0;30;13;1;7;24;1;0;0;0;0;1;0;1;0;0;1
Intel(R) Graphics [0xe223];3;13;24;16;30000;0;47;13;1;1;24;0;-2;0;0;0;1;0;0;1;0;0
Intel(R) Graphics [0xe223];3;13;24;24;30000;0;30;13;1;1;24;-1;0;0;0;0;1;0;2;0;0;1
Intel(R) Graphics [0xe223];3;13;24;26;30000;0;15;13;1;1;24;0;0;0;0;0;1;0;0;0;0;1
Intel(R) Graphics [0xe223];3;13;26;5;30000;0;30;13;1;1;26;0;0;0;0;0;1;0;0;2;0;1
Intel(R) Graphics [0xe223];3;13;26;13;30000;0;30;13;1;1;26;0;-1;0;0;0;1;0;2;2;0;1
Intel(R) Graphics [0xe223];3;13;26;16;30000;0;49;13;1;10;26;0;-2;0;0;0;1;0;2;1;0;0
Intel(R) Graphics [0xe223];3;13;26;24;30000;0;30;13;1;10;26;-2;0;0;0;0;1;0;1;0;0;1
Intel(R) Graphics [0xe223];3;13;26;26;30000;0;40;13;1;1;26;-1;1;0;0;0;1;0;2;0;0;1
Intel(R) Graphics [0xe223];3;14;14;14;30000;0;40;14;1;1;14;-1;-2;0;0;0;1;0;0;2;0;0
Intel(R) Graphics [0xe223];3;14;14;16;30000;0;40;14;1;1;14;-1;0;0;0;0;1;0;0;0;0;0
Intel(R) Graphics [0xe223];3;14;14;29;30000;0;30;14;1;1;14;-2;-1;0;0;0;1;0;0;0;0;0
Intel(R) Graphics [0xe223];3;14;16;14;30000;0;42;14;1;2;16;-1;0;0;0;0;1;0;1;0;0;1
Intel(R) Graphics [0xe223];3;14;16;16;30000;0;40;14;1;12;16;1;0;0;0;0;1;0;1;0;0;1
Intel(R) Graphics [0xe223];3;14;16;29;30000;0;15;14;1;1;16;-1;-2;0;0;0;1;0;0;0;0;0
Intel(R) Graphics [0xe223];3;14;29;14;30000;0;30;14;1;6;29;-1;1;0;0;0;1;0;1;2;0;1
Intel(R) Graphics [0xe223];3;14;29;16;30000;0;30;14;1;4;29;-2;0;0;0;0;1;0;1;2;0;1
Intel(R) Graphics [0xe223];3;14;29;29;30000;0;15;14;1;1;29;-1;1;0;0;0;1;0;0;0;0;1
Intel(R) Graphics [0xe223];3;16;5;5;30000;0;30;16;1;14;16;-1;2;0;0;0;1;0;0;2;0;0
Intel(R) Graphics [0xe223];3;16;5;13;30000;0;30;16;1;16;16;-2;2;0;0;0;1;0;1;0;0;1
Intel(R) Graphics [0xe223];3;16;5;16;30000;0;40;16;1;15;16;-1;2;0;0;0;1;0;1;2;0;1
Intel(R) Graphics [0xe223];3;16;5;24;30000;0;15;16;1;9;1;-2;2;0;0;0;1;0;0;1;0;0
Intel(R) Graphics [0xe223];3;16;5;26;30000;0;25;16;1;4;16;0;2;0;0;0;1;0;0;2;0;0
Intel(R) Graphics [0xe223];3;16;9;9;30000;0;30;16;1;10;16;0;-2;0;0;0;1;0;2;2;0;1
Intel(R) Graphics [0xe223];3;16;9;16;30000;0;30;16;1;10;16;-2;-2;0;0;0;1;0;1;0;0;1
Intel(R) Graphics [0xe223];3;16;9;22;30000;0;15;16;1;1;16;-1;-1;0;0;0;1;0;0;0;0;1
Intel(R) Graphics [0xe223];3;16;13;5;30000;0;24;16;1;15;1;1;0;0;0;0;1;0;2;0;0;0
Intel(R) Graphics [0xe223];3;16;13;13;30000;0;24;16;1;8;16;-1;0;0;0;0;1;0;1;2;0;0
Intel(R) Graphics [0xe223];3;16;13;16;30000;0;17;16;1;5;16;0;1;0;0;0;1;0;0;1;0;0
Intel(R) Graphics [0xe223];3;16;13;24;30000;0;24;16;1;1;16;1;1;0;0;0;1;0;2;0;0;0
Intel(R) Graphics [0xe223];3;16;13;26;30000;0;60;16;1;12;16;-2;1;0;0;0;1;0;1;0;0;0
Intel(R) Graphics [0xe223];3;16;14;14;30000;0;31;16;1;1;16;-2;-2;0;0;0;1;0;0;2;0;1
Intel(R) Graphics [0xe223];3;16;14;16;30000;0;40;16;1;14;16;-1;0;0;0;0;1;0;1;0;0;1
Intel(R) Graphics [0xe223];3;16;14;29;30000;0;15;16;1;1;16;-2;0;0;0;0;1;0;0;0;0;0
Intel(R) Graphics [0xe223];3;16;16;5;30000;0;30;16;1;1;1;1;0;0;0;0;1;0;0;2;0;0
Intel(R) Graphics [0xe223];3;16;16;9;30000;0;30;16;1;1;16;1;-1;0;0;0;1;0;0;0;0;1
Intel(R) Graphics [0xe223];3;16;16;13;30000;0;30;16;1;12;16;-2;1;0;0;0;1;0;1;2;0;0
Intel(R) Graphics [0xe223];3;16;16;14;30000;0;40;16;1;1;16;1;1;0;0;0;1;0;0;0;0;1
Intel(R) Graphics [0xe223];3;16;16;16;30000;0;15;16;1;1;16;-2;0;0;0;0;1;0;0;2;0;1
Intel(R) Graphics [0xe223];3;16;16;22;30000;0;15;16;1;1;1;-2;-2;0;0;0;1;0;0;2;0;1
Intel(R) Graphics [0xe223];3;16;16;24;30000;0;24;16;1;9;16;-2;0;0;0;0;1;0;1;2;0;0
Intel(R) Graphics [0xe223];3;16;16;26;30000;0;60;16;1;5;16;0;-1;0;0;0;1;0;1;0;0;0
Intel(R) Graphics [0xe223];3;16;16;29;30000;0;60;16;1;1;16;-2;0;0;0;0;1;0;0;2;0;0
Intel(R) Graphics [0xe223];3;16;16;55;30000;0;30;16;1;1;16;1;-1;0;0;0;1;0;0;0;0;0
Intel(R) Graphics [0xe223];3;16;22;9;30000;0;59;16;1;5;22;-1;0;0;0;0;1;0;0;0;0;1
Intel(R) Graphics [0xe223];3;16;22;16;30000;0;40;16;1;14;22;1;-2;0;0;0;1;0;1;0;0;1
Intel(R) Graphics [0xe223];3;16;22;22;30000;0;15;16;1;1;22;0;1;0;0;0;1;0;0;0;0;1
Intel(R) Graphics [0xe223];3;23;23;23;30000;0;15;23;1;1;1;1;1;0;0;0;1;0;0;0;0;0
